,ID,Haus/Wohnung,ID.1,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,livingSpace,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m,lat1,lon1
3018,84483254,Wohnung,84483254.0,Miete,"Unter den Eichen 97, Lichterfelde (Steglitz), Berlin",False,False,Berlin,False,001.277060,False,93.0,3.0,12203.0,800.0,False,Lichterfelde (Steglitz),Zentral am Botanischen Garten 3 Zimmer mit großer Terrasse,https://www.immobilienscout24.de/expose/84483254,8.602150537630001,52.44566,13.29466
3019,84513962,Wohnung,84513962.0,Miete,"Zeestower Weg 36, Staaken (Spandau), Berlin",True,True,Berlin,False,001.185105,True,109.08,4.0,13591.0,875.0,False,Staaken (Spandau),Vollständig renoviertes Dachgeschoss in Berlin-Staaken,https://www.immobilienscout24.de/expose/84513962,8.02163549688,52.54795,13.13336
3020,85047209,Wohnung,85047209.0,Miete,"Königin-Luise-Straße 5, Dahlem (Zehlendorf), Berlin",False,True,Berlin,True,001.15604068,False,19.19,1.0,14195.0,376.0,False,Dahlem (Zehlendorf),Möbliertes Apartment für Studenten und Pendler in Dahlem!,https://www.immobilienscout24.de/expose/85047209,19.5935383012,52.45919,13.30531
3021,85271391,Wohnung,85271391.0,Miete,"Wadzeckstr. 4, Mitte (Mitte), Berlin",True,True,Berlin,False,001.15697929,False,24.58,1.0,10178.0,480.0,False,Mitte (Mitte),"Appartement für Studenten, Auszubildende und Praktikanten",https://www.immobilienscout24.de/expose/85271391,19.5280716029,52.525,13.4165
3022,85447923,Wohnung,85447923.0,Miete,"Kronbergerstraße 11, Grunewald (Wilmersdorf), Berlin",True,True,Berlin,True,001.3971636,True,54.86,2.0,14193.0,899.0,False,Grunewald (Wilmersdorf),"Mitten im idyllischen Grunewald * 2 Zimmer, Balkon mit Blick ins Grüne und eine EBK !",https://www.immobilienscout24.de/expose/85447923,16.387167335,52.478669999999994,13.27837
3023,85526765,Wohnung,85526765.0,Miete,"Mitte (Mitte), Berlin",True,True,Berlin,False,001.15697929,False,24.58,1.0,10178.0,479.0,False,Mitte (Mitte),Hochwertige 1-Zi-Whg mit EBK und Balkon ab 01.10.2018 - NUR Studenten und Azubis,https://www.immobilienscout24.de/expose/85526765,19.4873881204,52.5176896,13.4023757
3024,85768669,Wohnung,85768669.0,Miete,"Damerowstraße 17, Pankow (Pankow), Berlin",False,False,Berlin,True,001.1668804,False,59.29,2.0,13187.0,681.84,False,Pankow (Pankow),SCHÖNE 3 ZIMMER DACHGESCHOSS WOHNUNG IN PANKOW?,https://www.immobilienscout24.de/expose/85768669,11.500084331300002,52.57265,13.419629999999998
3025,86185974,Wohnung,86185974.0,Miete,"Lichterfelde (Steglitz), Berlin",True,True,Berlin,True,009.8fa257f0-6b52-49d1-9c15-2747c37f7b81,False,160.0,5.0,12203.0,2390.0,True,Lichterfelde (Steglitz),"Altbauwohnung mit Stuckdecken/Parkett, teilmöbliert, langfristig zu vermieten",https://www.immobilienscout24.de/expose/86185974,14.9375,52.437293,13.3138645
3026,86228419,Wohnung,86228419.0,Miete,"Dahlem (Zehlendorf), Berlin",True,True,Berlin,True,001.9362778,True,107.0,4.0,14195.0,1350.0,True,Dahlem (Zehlendorf),Ohne Makler: 4 Zi. Wo. mit Garten in Dahlem,https://www.immobilienscout24.de/expose/86228419,12.616822429900001,52.4082089,13.2885987
3027,86317999,Wohnung,86317999.0,Miete,"Müllerstr. 65a, Wedding (Wedding), Berlin",False,True,Berlin,False,001.3587751,False,62.0,2.0,13349.0,420.0,True,Wedding (Wedding),Schöne 2-Zimmerwohnung am U-Bahnhof Rehberge,https://www.immobilienscout24.de/expose/86317999,6.7741935483899995,52.55659,13.34211
3028,86599215,Wohnung,86599215.0,Miete,"Schumannstraße 19, Mitte (Mitte), Berlin",True,True,Berlin,False,001.377554,False,75.66,2.0,10117.0,1060.0,False,Mitte (Mitte),2 Nettokaltmieten frei - Tradition trifft Moderne - Cityquartier Luisenhöfe,https://www.immobilienscout24.de/expose/86599215,14.0100449379,52.52384,13.37979
3029,86617098,Wohnung,86617098.0,Miete,"Dietzgenstraße 55, Niederschönhausen (Pankow), Berlin",True,False,Berlin,True,002.01004490058,False,68.46,2.0,13156.0,684.6,False,Niederschönhausen (Pankow),Großzügige Altbauwohnung! 2 Zimmer mit Balkon (VH 1. OG mitte),https://www.immobilienscout24.de/expose/86617098,10.0,52.5857,13.40218
3030,86621931,Wohnung,86621931.0,Miete,"Böckhstraße 30, Kreuzberg (Kreuzberg), Berlin",False,True,Berlin,False,002.01000792916,False,67.3,3.0,10967.0,999.0,False,Kreuzberg (Kreuzberg),3 Zimmer Wohnung im Gräfekiez -  WG geeignet!!,https://www.immobilienscout24.de/expose/86621931,14.8439821694,52.493219999999994,13.42145
3031,86752910,Wohnung,86752910.0,Miete,"Yorckstrasse 59, Kreuzberg (Kreuzberg), Berlin",True,True,Berlin,True,001.507682,False,206.0,6.0,10965.0,3000.0,False,Kreuzberg (Kreuzberg),Schöne 6-Zimmer-Altbau-Wohnung in Kreuzberg,https://www.immobilienscout24.de/expose/86752910,14.5631067961,52.49106999999999,13.3781
3032,86774939,Wohnung,86774939.0,Miete,"Emdener Str. 3, Tiergarten (Tiergarten), Berlin",False,True,Berlin,False,001.8099308,False,81.0,3.0,10551.0,847.0,False,Tiergarten (Tiergarten),Stuckaltbauwohnung im Vorderhaus,https://www.immobilienscout24.de/expose/86774939,10.4567901235,52.527609999999996,13.333720000000001
3033,87130643,Wohnung,87130643.0,Miete,"Birkenstraße 10, Tiergarten (Tiergarten), Berlin",False,False,Berlin,True,001.1242005,False,84.96,3.0,10559.0,1036.0,False,Tiergarten (Tiergarten),Mitten in Berlin-Tiergarten - Schöne 3 Zimmerwohnung - Dielen - WG-taugl. - ca. 85 m² - 1.249 € warm,https://www.immobilienscout24.de/expose/87130643,12.1939736347,52.530390000000004,13.34961
3034,87161794,Wohnung,87161794.0,Miete,"Sckingenstr 56A, Tiergarten (Tiergarten), Berlin",True,False,Berlin,False,009.6d30693d-736c-4cbf-8ab5-f50c599db5f5,False,79.0,3.0,10553.0,600.4,True,Tiergarten (Tiergarten),3-Zimmer mit Fünfeckzimmer in der Mitte,https://www.immobilienscout24.de/expose/87161794,7.6,52.53049,13.31642
3035,87176892,Wohnung,87176892.0,Miete,"Müggelseedamm 243, Friedrichshagen (Köpenick), Berlin",True,True,Berlin,True,009.71b4b253-ffe5-48ac-b951-3b15729d13c4,True,161.0,6.0,12587.0,1500.0,True,Friedrichshagen (Köpenick),Familiengerechtes Wohnen am Müggelsee,https://www.immobilienscout24.de/expose/87176892,9.31677018634,52.44764,13.634170000000001
