ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m
101422770,Wohnung,101422770,Miete,"Zinsgutstraße 41, Adlershof (Treptow), Berlin",true,false,Berlin,true,001.1184501,false,52.43786,93.29,13.55709,3,12489,1045,false,Adlershof (Treptow),Wohnen in der Nähe zur Dahme und Spree,https://www.immobilienscout24.de/expose/101422770,11.2016293279
101433533,Wohnung,101433533,Miete,"Gartenfelder Str. 74, Haselhorst (Spandau), Berlin",true,true,Berlin,false,009.ea9a9f0f-23a0-4773-8cf8-8945763e6086,false,52.544,73.5,13.24279,2.5,13599,730,true,Haselhorst (Spandau),"Gepflegte 2,5-Zimmer-Wohnung mit Balkon und EBK in Haselhorst (Spandau), Berlin",https://www.immobilienscout24.de/expose/101433533,9.93197278912
101452216,Wohnung,101452216,Miete,"Beuthstraße 11, Mitte (Mitte), Berlin",true,true,Berlin,true,001.12875085,false,52.50955,89,13.40114,3,10117,1600,false,Mitte (Mitte),Dachterrasse * Balkon * über den Wolken * Luxus * Erstbezug * TG,https://www.immobilienscout24.de/expose/101452216,17.9775280899
101481748,Wohnung,101481748,Miete,"Putlitzstraße 15, Tiergarten (Tiergarten), Berlin",true,false,Berlin,true,001.172849,false,52.53337,122.58,13.34284,2,10551,1103,false,Tiergarten (Tiergarten),!!! DREI NETTOKALTMIETEN FREI - Traumhafte Dachgeschosswohnung im Herzen von Moabit!,https://www.immobilienscout24.de/expose/101481748,8.99820525371
101487752,Wohnung,101487752,Miete,"Joseph-von-Eichendorff-Gasse 1, Tiergarten (Tiergarten), Berlin",false,true,Berlin,false,001.1011756,false,52.50751,105.97,13.37355,3,10785,1750,false,Tiergarten (Tiergarten),Apartments in unittelbarer Nähe zur Mall of Berlin!,https://www.immobilienscout24.de/expose/101487752,16.5141077663
101487755,Wohnung,101487755,Miete,"Joseph-von-Eichendorff-Gasse 1, Tiergarten (Tiergarten), Berlin",false,true,Berlin,false,001.1011756,false,52.50751,93.19,13.37355,3,10785,1600,false,Tiergarten (Tiergarten),Einzigartige Wohnung in zentraler Lage,https://www.immobilienscout24.de/expose/101487755,17.1692241657
101556463,Wohnung,101556463,Miete,"Carmerstraße 17, Charlottenburg (Charlottenburg), Berlin",true,true,Berlin,false,002.01007332444,false,52.50769,229.51,13.32515,4,10623,2690,false,Charlottenburg (Charlottenburg),Traumwohnung in bester Lage Savignyplatz - Seitenstraße,https://www.immobilienscout24.de/expose/101556463,11.7206221951
101605702,Wohnung,101605702,Miete,"Mitte (Mitte), Berlin",true,true,Berlin,false,001.763130,false,,65,,2,10115,1700,false,Mitte (Mitte),5706 - Chausseestraße - Geschmackvolles und sonniges Loft in zentraler Lage,https://www.immobilienscout24.de/expose/101605702,26.1538461538
101621833,Wohnung,101621833,Miete,"Brüder-Grimm-Gasse 1, Tiergarten (Tiergarten), Berlin",true,true,Berlin,true,001.37030,false,52.50637,101.03,13.374,2,10785,1620,false,Tiergarten (Tiergarten),#Skylights: Dachgeschossmaisonette mit großer Terrasse und Panoramafenstern!,https://www.immobilienscout24.de/expose/101621833,16.0348411363
101628957,Wohnung,101628957,Miete,"Rudolf-von-Gneist-Gasse 4, Tiergarten (Tiergarten), Berlin",false,true,Berlin,false,001.1011756,false,52.50735,93.19,13.37382,3,10785,1600,false,Tiergarten (Tiergarten),Großstadtflair in exzellenter Lage!,https://www.immobilienscout24.de/expose/101628957,17.1692241657
